ts=7835; X_raw=122; Y_raw=-381; Z_raw=-48; X_acc_der=122.00; Y_acc_der=-381.00; Z_acc_der=-48.00; X_gyr_der=-117.83; Y_gyr_der=-7.82; Z_gyr_der=35.27;
ts=7939; X_raw=79; Y_raw=-376; Z_raw=-80; X_acc_der=79.00; Y_acc_der=-376.00; Z_acc_der=-80.00; X_gyr_der=-117.95; Y_gyr_der=-7.02; Z_gyr_der=32.79;
ts=8043; X_raw=-24; Y_raw=-356; Z_raw=-97; X_acc_der=-24.00; Y_acc_der=-356.00; Z_acc_der=-97.00; X_gyr_der=-117.31; Y_gyr_der=-7.51; Z_gyr_der=33.56; FFT_array_in=[-24.000000, 79.000000, 122.000000, -20.000000, 70.000000, 106.000000, -25.000000, 73.000000, 151.000000, 22.000000, -109.000000, 292.000000, 68.000000, 13.000000, -140.000000, 60.000000, 66.000000, 354.000000, -304.000000, 131.000000, 72.000000, -77.000000, 319.000000, -220.000000, 196.000000, 251.000000, 56.000000, -99.000000, 122.000000, 162.000000, -73.000000, -6.000000, 175.000000, 76.000000, -57.000000, 120.000000, 118.000000, -86.000000, 32.000000, 186.000000, -82.000000, 87.000000, 238.000000, -25.000000, -48.000000, 135.000000, 185.000000, -80.000000, 65.000000, 428.000000, -213.000000, -259.000000, 208.000000, 101.000000, -107.000000, 177.000000, 132.000000, 2.000000, -35.000000, 135.000000, -74.000000, 16.000000, 171.000000, 117.000000, ]; FFT_array_der=[3526.000000, -127.894684, 126.129700, 323.826965, -197.424072, -48.321274, 117.391052, 379.972595, 822.529663, -435.946960, -670.539612, 308.104919, 581.895996, -177.951172, -1365.065796, -382.194641, 1155.000000, 331.800568, 380.789062, -3648.906494, 146.940674, -362.309967, -263.307068, 1031.879395, -536.529663, -777.938904, 1077.475220, 133.291382, -991.412659, 924.257080, 757.127686, -655.668457, -976.000000, -655.668457, 757.127869, 924.256775, -991.412720, 133.291733, 1077.475098, -777.939148, -536.529541, 1031.879150, -263.307373, -362.309631, 146.940765, -3648.906738, 380.788910, 331.800415, 1155.000000, -382.194733, -1365.065918, -177.951172, 581.896118, 308.104889, -670.539734, -435.947205, 822.529541, 379.972473, 117.391235, -48.321198, -197.424133, 323.827057, 126.129791, -127.894714, ]; FFT_max_freq=0.000000;
I (8179) ACTUATE: dataframe - ts: 8177, freq: 0.000000, cue: 0
ts=8289; X_raw=54; Y_raw=-413; Z_raw=-100; X_acc_der=54.00; Y_acc_der=-413.00; Z_acc_der=-100.00; X_gyr_der=-117.44; Y_gyr_der=-7.54; Z_gyr_der=34.44;
ts=8393; X_raw=84; Y_raw=-421; Z_raw=-134; X_acc_der=84.00; Y_acc_der=-421.00; Z_acc_der=-134.00; X_gyr_der=-118.02; Y_gyr_der=-6.87; Z_gyr_der=34.14;
ts=8497; X_raw=503; Y_raw=-350; Z_raw=-17; X_acc_der=503.00; Y_acc_der=-350.00; Z_acc_der=-17.00; X_gyr_der=-117.77; Y_gyr_der=-7.66; Z_gyr_der=32.98;
ts=8601; X_raw=382; Y_raw=265; Z_raw=-44; X_acc_der=382.00; Y_acc_der=265.00; Z_acc_der=-44.00; X_gyr_der=-111.08; Y_gyr_der=-6.63; Z_gyr_der=25.98;
ts=8705; X_raw=-20; Y_raw=-261; Z_raw=228; X_acc_der=-20.00; Y_acc_der=-261.00; Z_acc_der=228.00; X_gyr_der=-124.46; Y_gyr_der=-8.21; Z_gyr_der=35.76;
ts=8809; X_raw=-2188; Y_raw=-1936; Z_raw=-1016; X_acc_der=-2188.00; Y_acc_der=-1936.00; Z_acc_der=-1016.00; X_gyr_der=-112.89; Y_gyr_der=-5.98; Z_gyr_der=34.87;
ts=8915; X_raw=383; Y_raw=-1053; Z_raw=24; X_acc_der=383.00; Y_acc_der=-1053.00; Z_acc_der=24.00; X_gyr_der=-134.84; Y_gyr_der=-12.85; Z_gyr_der=26.87;
ts=9019; X_raw=3608; Y_raw=748; Z_raw=-449; X_acc_der=3608.00; Y_acc_der=748.00; Z_acc_der=-449.00; X_gyr_der=-130.17; Y_gyr_der=-15.02; Z_gyr_der=33.13;
ts=9123; X_raw=669; Y_raw=212; Z_raw=509; X_acc_der=669.00; Y_acc_der=212.00; Z_acc_der=509.00; X_gyr_der=-111.08; Y_gyr_der=-7.51; Z_gyr_der=28.24;
ts=9227; X_raw=-1834; Y_raw=-651; Z_raw=-527; X_acc_der=-1834.00; Y_acc_der=-651.00; Z_acc_der=-527.00; X_gyr_der=-113.10; Y_gyr_der=-8.31; Z_gyr_der=32.09;
ts=9333; X_raw=-696; Y_raw=-317; Z_raw=412; X_acc_der=-696.00; Y_acc_der=-317.00; Z_acc_der=412.00; X_gyr_der=-118.29; Y_gyr_der=-8.21; Z_gyr_der=36.27;
ts=9437; X_raw=2096; Y_raw=310; Z_raw=46; X_acc_der=2096.00; Y_acc_der=310.00; Z_acc_der=46.00; X_gyr_der=-120.92; Y_gyr_der=-10.29; Z_gyr_der=32.43;
ts=9541; X_raw=167; Y_raw=825; Z_raw=629; X_acc_der=167.00; Y_acc_der=825.00; Z_acc_der=629.00; X_gyr_der=-124.18; Y_gyr_der=-9.31; Z_gyr_der=34.50;
ts=9645; X_raw=-148; Y_raw=126; Z_raw=-233; X_acc_der=-148.00; Y_acc_der=126.00; Z_acc_der=-233.00; X_gyr_der=-120.40; Y_gyr_der=-9.47; Z_gyr_der=34.26;
ts=9749; X_raw=628; Y_raw=-974; Z_raw=-62; X_acc_der=628.00; Y_acc_der=-974.00; Z_acc_der=-62.00; X_gyr_der=-118.99; Y_gyr_der=-8.09; Z_gyr_der=32.92;
ts=9853; X_raw=1023; Y_raw=-648; Z_raw=-377; X_acc_der=1023.00; Y_acc_der=-648.00; Z_acc_der=-377.00; X_gyr_der=-115.94; Y_gyr_der=-8.43; Z_gyr_der=33.16;
ts=9957; X_raw=-608; Y_raw=-1110; Z_raw=-550; X_acc_der=-608.00; Y_acc_der=-1110.00; Z_acc_der=-550.00; X_gyr_der=-115.76; Y_gyr_der=-5.34; Z_gyr_der=33.95;
ts=10063; X_raw=-109; Y_raw=-651; Z_raw=-177; X_acc_der=-109.00; Y_acc_der=-651.00; Z_acc_der=-177.00; X_gyr_der=-109.95; Y_gyr_der=-8.40; Z_gyr_der=28.82;
ts=10169; X_raw=-84; Y_raw=-408; Z_raw=-198; X_acc_der=-84.00; Y_acc_der=-408.00; Z_acc_der=-198.00; X_gyr_der=-113.59; Y_gyr_der=-7.45; Z_gyr_der=31.24;
ts=10273; X_raw=438; Y_raw=155; Z_raw=8; X_acc_der=438.00; Y_acc_der=155.00; Z_acc_der=8.00; X_gyr_der=-115.36; Y_gyr_der=-6.93; Z_gyr_der=31.08;
ts=10377; X_raw=1081; Y_raw=36; Z_raw=271; X_acc_der=1081.00; Y_acc_der=36.00; Z_acc_der=271.00; X_gyr_der=-117.83; Y_gyr_der=-8.12; Z_gyr_der=32.76;
ts=10481; X_raw=551; Y_raw=171; Z_raw=61; X_acc_der=551.00; Y_acc_der=171.00; Z_acc_der=61.00; X_gyr_der=-116.49; Y_gyr_der=-6.08; Z_gyr_der=32.70;
